monster_id,name_en,family,rank,size,name_jp
1,Slime,Slime,F,S,スライム
2,Komodo,Dragon,F,S,コドラ
3,Swarmtroop,Nature,F,S,カバシラー
4,Platypunk,Beast,F,S,ももんじゃ
5,Bag o' laughs,Material,F,S,わらいぶくろ
6,Dracky,Demon,F,S,ドラキー
7,Ghost,Undead,F,S,ゴースト
8,Bad egg,Slime,F,S,タマゴロン
9,Frou-fry,Dragon,F,S,リザードキッズ
10,Capsichum,Nature,F,S,くしざしツインズ
11,Mischievous mole,Beast,F,S,いたずらもぐら
12,Mud mannequin,Material,F,S,どろにんぎょう
13,Lips,Demon,F,S,リップス
14,Stump chump,Undead,F,S,きりかぶおばけ
15,Weedie,Slime,F,S,リーファ
16,Dragonthorn,Dragon,F,S,いばらドラゴン
17,Scissor beatle,Nature,F,S,はさみくわがた
18,Killerpillar,Nature,F,S,キャタピラー
19,Satyr,Beast,F,S,プークプック
20,Wax murderer,Material,F,S,おばけキャンドル
21,Winky,Demon,F,S,おおめだま
22,Funghoul,Undead,F,S,おばけキノコ
23,Bubble slime,Slime,F,S,バブルスライム
24,Argon lizard,Dragon,F,S,アルゴリザード
25,Hell hornet,Nature,F,S,ヘルホーネット
26,Hammerhood,Beast,F,S,おおきづち
27,Frostburn,Material,F,S,ブリザード
28,Conklave,Demon,F,S,プチット族
29,Muddy hand,Undead,F,S,マドハンド
30,Healslime,Slime,F,S,ホイミスライム
31,Mental pitcher,Nature,F,S,マッドプラント
32,Spitnik,Material,F,S,シャイニング
33,See urchin,Demon,F,S,シーメーダ
34,Firespirit,Undead,F,S,メラゴースト
35,She-slime,Slime,E,S,スライムべス
36,Jargon,Dragon,E,S,デンデン竜
37,Great sabrecub,Nature,E,S,ベビーパンサー
38,Weaken beakon,Beast,E,S,デッドペッカー
39,Cheeky tiki,Material,E,S,ガオン
40,Heedoovoodoo,Demon,E,S,シャーマン
41,Drohl drone,Undead,E,S,ドロル
42,Drake slime,Slime,E,S,ドラゴスライム
43,Boreal serpent,Dragon,E,S,スノードラゴン
44,Chimaera,Nature,E,S,キメラ
45,Powie yowie,Beast,E,S,イエティ
46,Rockbomb,Material,E,S,ばくだん岩
47,Frogface,Demon,E,S,じんめんガエル
48,Mummy boy,Undead,E,S,ミイラ男
